model,transition_type,num_test,top1,cosine_mean
Qwen3-Embedding-0.6B,cleaned,27,0.37037037037037035,0.5348956143414533
Qwen3-Embedding-0.6B,cooled,29,0.034482758620689655,0.6066663964041348
Qwen3-Embedding-0.6B,heated,33,0.030303030303030304,0.5649990276856856
Qwen3-Embedding-0.6B,picked_up,274,0.14963503649635038,0.5613594955771509
Qwen3-Embedding-0.6B,placed,240,0.2791666666666667,0.5602620440224807
Qwen3-Embedding-0.6B,sliced,15,0.26666666666666666,0.5863444526990255
Qwen3-Embedding-0.6B,toggled,19,0.10526315789473684,0.5127205284018266
bge-large-en-v1.5,cleaned,27,0.37037037037037035,0.5169600502208427
bge-large-en-v1.5,cooled,29,0.034482758620689655,0.5213622399445238
bge-large-en-v1.5,heated,33,0.030303030303030304,0.5219276267470736
bge-large-en-v1.5,picked_up,274,0.14233576642335766,0.526769172971266
bge-large-en-v1.5,placed,240,0.275,0.5143621900429328
bge-large-en-v1.5,sliced,15,0.26666666666666666,0.5318682551383972
bge-large-en-v1.5,toggled,19,0.10526315789473684,0.4881742094692431
e5-large-v2,cleaned,27,0.37037037037037035,0.38911183454372267
e5-large-v2,cooled,29,0.034482758620689655,0.386876230609828
e5-large-v2,heated,33,0.030303030303030304,0.3763428104646278
e5-large-v2,picked_up,274,0.14963503649635038,0.39371077781611113
e5-large-v2,placed,240,0.2791666666666667,0.35105292350053785
e5-large-v2,sliced,15,0.26666666666666666,0.4111058831214905
e5-large-v2,toggled,19,0.10526315789473684,0.4035605396095075
