model,attribute,n,cosine_mean,top1,top5,top10,mean_target_rank
Qwen3-Embedding-0.6B,location,454,0.5041607618331909,0.5550660792951542,0.9229074889867841,0.9713656387665198,2.3656387665198237
Qwen3-Embedding-0.6B,state,296,0.5274109840393066,0.8581081081081081,0.9932432432432432,1.0,1.2263513513513513
Qwen3-Embedding-0.6B,temperature,124,0.5452889204025269,0.6209677419354839,0.9274193548387096,0.9838709677419355,2.185483870967742
Qwen3-Embedding-0.6B,cleanness,88,0.5665992498397827,0.6363636363636364,0.9772727272727273,1.0,1.7727272727272727
Qwen3-Embedding-0.6B,volume,83,0.5584872364997864,0.6506024096385542,1.0,1.0,1.5542168674698795
Qwen3-Embedding-0.6B,weight,68,0.5591381192207336,0.75,1.0,1.0,1.4264705882352942
Qwen3-Embedding-0.6B,moisture,65,0.5760141015052795,0.8153846153846154,1.0,1.0,1.2461538461538462
Qwen3-Embedding-0.6B,composition,62,0.5490528345108032,0.7741935483870968,0.9516129032258065,0.9838709677419355,1.7096774193548387
Qwen3-Embedding-0.6B,position,56,0.51253741979599,0.625,0.9464285714285714,1.0,1.8571428571428572
Qwen3-Embedding-0.6B,wetness,47,0.5892837643623352,0.8723404255319149,1.0,1.0,1.148936170212766
Qwen3-Embedding-0.6B,fullness,40,0.5685750246047974,0.9,1.0,1.0,1.1
Qwen3-Embedding-0.6B,shape,38,0.5234468579292297,0.8947368421052632,1.0,1.0,1.105263157894737
Qwen3-Embedding-0.6B,texture,38,0.5265326499938965,0.6842105263157895,1.0,1.0,1.6842105263157894
Qwen3-Embedding-0.6B,container,28,0.5296565294265747,0.7142857142857143,1.0,1.0,1.5
Qwen3-Embedding-0.6B,knowledge,27,0.5086278319358826,1.0,1.0,1.0,1.0
Qwen3-Embedding-0.6B,orientation,27,0.5289173722267151,0.9259259259259259,1.0,1.0,1.0740740740740742
Qwen3-Embedding-0.6B,availability,24,0.5228129029273987,1.0,1.0,1.0,1.0
Qwen3-Embedding-0.6B,size,23,0.5208110213279724,0.9130434782608695,1.0,1.0,1.0869565217391304
bge-large-en-v1.5,location,454,0.4483616054058075,0.5374449339207048,0.8876651982378855,0.960352422907489,2.883259911894273
bge-large-en-v1.5,state,296,0.47145554423332214,0.8209459459459459,0.9932432432432432,1.0,1.3006756756756757
