dataset,model,architecture,n_seeds,top1_mean,top1_std,top5_mean,top10_mean,cosine_mean,rank_mean
alfworld_nl_no_goto,Qwen3-Embedding-0.6B,action_only,3,0.196232,0.014975,0.652538,0.833595,0.525359,8.616431
alfworld_nl_no_goto,Qwen3-Embedding-0.6B,concat,3,0.197802,0.012460,0.693354,0.873365,0.562512,5.347985
alfworld_nl_no_goto,Qwen3-Embedding-0.6B,film,3,0.208791,0.008741,0.706436,0.871272,0.566998,5.289901
alfworld_nl_no_goto,Qwen3-Embedding-0.6B,residual_film,3,0.194662,0.016539,0.691784,0.862899,0.564081,5.428571
alfworld_nl_no_goto,Qwen3-Embedding-0.6B,state_only,3,0.146520,0.007744,0.583464,0.830979,0.566265,6.294087
alfworld_nl_no_goto,bge-large-en-v1.5,action_only,3,0.190476,0.014586,0.654108,0.829409,0.488203,8.355311
alfworld_nl_no_goto,bge-large-en-v1.5,concat,3,0.198849,0.029046,0.705390,0.872841,0.519853,5.308216
alfworld_nl_no_goto,bge-large-en-v1.5,film,3,0.194139,0.012592,0.707483,0.875458,0.520770,5.232862
alfworld_nl_no_goto,bge-large-en-v1.5,residual_film,3,0.203035,0.009592,0.702250,0.883307,0.516483,5.161695
alfworld_nl_no_goto,bge-large-en-v1.5,state_only,3,0.141811,0.002398,0.583464,0.824699,0.512016,6.298273
alfworld_nl_no_goto,e5-large-v2,action_only,3,0.175301,0.013716,0.643642,0.832548,0.358055,8.519100
alfworld_nl_no_goto,e5-large-v2,concat,3,0.195709,0.008927,0.694401,0.879121,0.375078,5.239665
alfworld_nl_no_goto,e5-large-v2,film,3,0.197802,0.011320,0.708006,0.879644,0.376802,5.246991
alfworld_nl_no_goto,e5-large-v2,residual_film,3,0.192046,0.001813,0.695971,0.878598,0.374645,5.296703
alfworld_nl_no_goto,e5-large-v2,state_only,3,0.145474,0.004532,0.583464,0.832025,0.377075,6.240188
openpi_c_nl,Qwen3-Embedding-0.6B,action_only,3,0.081117,0.002479,0.278654,0.405747,0.293459,83.250903
openpi_c_nl,Qwen3-Embedding-0.6B,concat,3,0.732020,0.005190,0.966010,0.992118,0.515699,1.676847
openpi_c_nl,Qwen3-Embedding-0.6B,film,3,0.736453,0.004515,0.965517,0.989984,0.529528,1.696880
openpi_c_nl,Qwen3-Embedding-0.6B,residual_film,3,0.740394,0.005973,0.963218,0.988834,0.525076,1.692611
openpi_c_nl,Qwen3-Embedding-0.6B,state_only,3,0.725780,0.008817,0.952709,0.981773,0.527350,1.857471
openpi_c_nl,bge-large-en-v1.5,action_only,3,0.076355,0.002147,0.262233,0.386371,0.273494,89.350411
openpi_c_nl,bge-large-en-v1.5,concat,3,0.662890,0.023811,0.932020,0.970772,0.461179,2.355008
openpi_c_nl,bge-large-en-v1.5,film,3,0.691790,0.010638,0.944828,0.980788,0.477733,2.061905
openpi_c_nl,bge-large-en-v1.5,residual_film,3,0.695238,0.004247,0.944171,0.978982,0.478309,2.073071
openpi_c_nl,bge-large-en-v1.5,state_only,3,0.665353,0.012811,0.924631,0.966174,0.460808,2.479146
openpi_c_nl,e5-large-v2,action_only,3,0.063875,0.008394,0.225780,0.334319,0.182840,100.341708
openpi_c_nl,e5-large-v2,concat,3,0.610837,0.003413,0.885057,0.942200,0.319806,3.284729
openpi_c_nl,e5-large-v2,film,3,0.645320,0.004699,0.913793,0.959934,0.322091,2.680952
openpi_c_nl,e5-large-v2,residual_film,3,0.659606,0.002463,0.916585,0.963711,0.323791,2.601642
openpi_c_nl,e5-large-v2,state_only,3,0.625452,0.005918,0.892939,0.942693,0.318299,3.228079
trip_nl_known_only,Qwen3-Embedding-0.6B,action_only,3,0.267944,0.004694,0.591507,0.712138,0.371062,16.268320
trip_nl_known_only,Qwen3-Embedding-0.6B,concat,3,0.656896,0.004694,0.925592,0.956032,0.563742,2.277339
trip_nl_known_only,Qwen3-Embedding-0.6B,film,3,0.668921,0.014364,0.929350,0.957535,0.553748,2.231868
trip_nl_known_only,Qwen3-Embedding-0.6B,residual_film,3,0.679820,0.009228,0.925968,0.959790,0.579207,2.211199
trip_nl_known_only,Qwen3-Embedding-0.6B,state_only,3,0.682074,0.006277,0.926719,0.958286,0.574514,2.214581
trip_nl_known_only,bge-large-en-v1.5,action_only,3,0.272078,0.004556,0.596768,0.737693,0.362967,15.161218
trip_nl_known_only,bge-large-en-v1.5,concat,3,0.632469,0.015622,0.913191,0.956783,0.521107,2.365276
trip_nl_known_only,bge-large-en-v1.5,film,3,0.654641,0.015223,0.925592,0.960165,0.525028,2.286359
trip_nl_known_only,bge-large-en-v1.5,residual_film,3,0.666667,0.012418,0.923713,0.954528,0.541921,2.314543
trip_nl_known_only,bge-large-en-v1.5,state_only,3,0.675310,0.001953,0.923713,0.956783,0.537677,2.254416
trip_nl_known_only,e5-large-v2,action_only,3,0.242766,0.008537,0.556182,0.687336,0.259501,21.637354
trip_nl_known_only,e5-large-v2,concat,3,0.637730,0.023684,0.909057,0.948891,0.387892,2.451710
trip_nl_known_only,e5-large-v2,film,3,0.663660,0.016037,0.923713,0.959790,0.387042,2.235626
trip_nl_known_only,e5-large-v2,residual_film,3,0.674934,0.010475,0.922210,0.958286,0.408123,2.219842
trip_nl_known_only,e5-large-v2,state_only,3,0.671552,0.004556,0.925968,0.959038,0.401170,2.222473
