dataset,model,steps,horizon,n,n_seeds,top1_mean,top1_std,top5_mean,top5_std,top10_mean,top10_std,mean_rank_mean,mean_rank_std,median_rank_mean,median_rank_std
alfworld_nogoto,Qwen3-Embedding-0.6B,3,1,189,3,0.8783068783068783,0.005291005291005291,0.9594356261022927,0.006109526658091277,0.9805996472663138,0.006109526658091277,1.6402116402116402,0.06009426820952674,1.0,0.0
alfworld_nogoto,Qwen3-Embedding-0.6B,3,2,189,3,0.30335097001763667,0.008082144082814532,0.3439153439153439,0.009164289987136916,0.39153439153439146,0.009164289987136916,87.83245149911818,17.219393889404483,25.333333333333332,2.309401076758503
alfworld_nogoto,Qwen3-Embedding-0.6B,3,3,189,3,0.14285714285714285,0.0,0.20458553791887124,0.02500431548281803,0.3439153439153439,0.01907699087547084,75.36860670194004,6.056087367997762,19.333333333333332,3.2145502536643185
alfworld_nogoto,bge-large-en-v1.5,3,1,189,3,0.9470899470899471,0.0,0.9629629629629629,0.0,1.0,0.0,1.3809523809523807,0.0,1.0,0.0
alfworld_nogoto,bge-large-en-v1.5,3,2,189,3,0.30158730158730157,0.023062957373231077,0.3509700176366843,0.011014105817281124,0.4038800705467372,0.016164288165629065,99.84832451499119,10.03291011559859,19.333333333333332,1.1547005383792515
alfworld_nogoto,bge-large-en-v1.5,3,3,189,3,0.17460317460317457,0.013998684185526933,0.23456790123456792,0.02609990932442459,0.4409171075837743,0.02202821163456225,61.91887125220459,1.3285095126037378,12.666666666666666,1.1547005383792515
alfworld_nogoto,e5-large-v2,3,1,189,3,0.9735449735449735,0.005291005291005291,0.9841269841269841,0.0,1.0,0.0,1.1128747795414462,0.008082144082814496,1.0,0.0
alfworld_nogoto,e5-large-v2,3,2,189,3,0.25925925925925924,0.024246432248443597,0.30511463844797176,0.021383343303319473,0.345679012345679,0.006109526658091277,106.68430335097003,8.913502601892827,24.333333333333332,1.5275252316519468
alfworld_nogoto,e5-large-v2,3,3,189,3,0.12874779541446207,0.011014105817281124,0.1763668430335097,0.008082144082814532,0.2962962962962963,0.0419960525565808,72.58377425044091,5.582823816317477,18.0,1.0
propara_deepseek,Qwen3-Embedding-0.6B,3,1,71,3,0.3755868544600938,0.021514439882421785,0.7464788732394366,0.028169014084507005,0.9014084507042254,0.014084507042253502,4.037558685446009,0.2835618567237843,2.3333333333333335,0.5773502691896257
propara_deepseek,Qwen3-Embedding-0.6B,3,2,71,3,0.18779342723004697,0.04946316315893304,0.727699530516432,0.029319239429100467,0.863849765258216,0.029319239429100467,5.107981220657277,0.29555099972839705,3.0,0.0
propara_deepseek,Qwen3-Embedding-0.6B,3,3,71,3,0.14084507042253522,0.06139294286677005,0.4553990610328638,0.029319239429100453,0.6948356807511736,0.01626338786449648,10.971830985915494,0.938603215861754,6.333333333333333,0.5773502691896257
propara_deepseek,bge-large-en-v1.5,3,1,71,3,0.2535211267605634,0.014084507042253516,0.732394366197183,0.03726410297274071,0.943661971830986,0.02816901408450706,4.511737089201878,0.19431175668145406,3.0,0.0
propara_deepseek,bge-large-en-v1.5,3,2,71,3,0.15492957746478872,0.037264102972740715,0.5868544600938966,0.03252677572899296,0.8591549295774646,0.014084507042253502,6.676056338028169,0.5589615445911106,4.666666666666667,0.5773502691896257
propara_deepseek,bge-large-en-v1.5,3,3,71,3,0.1596244131455399,0.021514439882421785,0.5211267605633803,0.050782412330478734,0.7370892018779344,0.04302887976484357,12.347417840375586,8.014150515004943,5.333333333333333,0.5773502691896257
propara_deepseek,e5-large-v2,3,1,71,3,0.27699530516431925,0.04302887976484358,0.6995305164319249,0.016263387864496544,0.8497652582159625,0.03544523209047302,7.708920187793427,0.8170632832979192,3.0,0.0
propara_deepseek,e5-large-v2,3,2,71,3,0.11267605633802817,0.028169014084507046,0.4647887323943662,0.050782412330478706,0.6666666666666666,0.021514439882421757,15.140845070422536,4.912828689966399,6.333333333333333,1.5275252316519468
propara_deepseek,e5-large-v2,3,3,71,3,0.09859154929577464,0.014084507042253523,0.29577464788732394,0.02439508179674475,0.4507042253521127,0.08567271169434115,47.178403755868544,39.326297735476146,14.666666666666666,5.507570547286102
scone_full,Qwen3-Embedding-0.6B,5,1,3382,3,0.1419278533412182,0.06839359997014059,0.3163808397397989,0.1285480050490832,0.41740587423615216,0.1475403002881807,129.47703528484132,79.55885316298487,22.666666666666668,21.07921567168317
scone_full,Qwen3-Embedding-0.6B,5,2,3382,3,0.020599250936329586,0.011960856650083179,0.09511137394046915,0.05761976409368938,0.14074512123004138,0.0774599242665169,2645.6058545239503,93.41371721507124,468.6666666666667,399.0270458669855
scone_full,Qwen3-Embedding-0.6B,5,3,3382,3,0.010841711019120836,0.006679644736785896,0.04346540508574808,0.02826674072627735,0.06938695052237336,0.04381832262325441,1454.5009856100926,1100.2040396579991,635.5,674.4722010579828
scone_full,Qwen3-Embedding-0.6B,5,4,3382,3,0.0026611472501478412,0.002132200635992897,0.0069978316577961755,0.004014471092926532,0.011630199093238714,0.006770646361362347,3992.87670017741,796.6466581836725,2802.3333333333335,1261.1411829503204
scone_full,Qwen3-Embedding-0.6B,5,5,3382,3,0.0030553912872067815,0.000853563378458938,0.0072935146855903805,0.0032569902704234787,0.012221565148827123,0.005333234479979769,3601.4421446875617,1154.2025106672056,2733.3333333333335,1198.8187241336086
scone_full,bge-large-en-v1.5,5,1,3382,3,0.06199487482751823,0.012462025325500498,0.18016952493593533,0.02715834258009071,0.2730139956633156,0.03192463967800981,152.98196333530456,24.162093903625316,32.666666666666664,5.686240703077327
scone_full,bge-large-en-v1.5,5,2,3382,3,0.007687758722649319,0.0012888524374750658,0.031342400946185685,0.0064848350678478155,0.05746106840134043,0.01330683132800132,2839.256554307116,68.28260303984587,472.3333333333333,58.12128124304671
