dataset,model,steps,horizon,n,n_seeds,top1_mean,top1_std,top5_mean,top5_std,top10_mean,top10_std,mean_rank_mean,mean_rank_std,median_rank_mean,median_rank_std
alfworld_nogoto,Qwen3-Embedding-0.6B,3,1,189,3,0.8783068783068783,0.005291005291005291,0.9594356261022927,0.006109526658091277,0.9805996472663138,0.006109526658091277,1.6402116402116402,0.06009426820952674,1.0,0.0
alfworld_nogoto,Qwen3-Embedding-0.6B,3,2,189,3,0.8765432098765432,0.008082144082814557,0.9188712522045854,0.0030547633290456066,0.9241622574955909,0.0030547633290456708,2.490299823633157,0.07526133436808427,1.0,0.0
alfworld_nogoto,Qwen3-Embedding-0.6B,3,3,189,3,0.9400352733686067,0.006109526658091277,0.9682539682539683,0.009164289987136948,0.9735449735449735,0.009164289987136885,1.511463844797178,0.13135482314896244,1.0,0.0
alfworld_nogoto,bge-large-en-v1.5,3,1,189,3,0.9470899470899471,0.0,0.9629629629629629,0.0,1.0,0.0,1.3809523809523807,0.0,1.0,0.0
alfworld_nogoto,bge-large-en-v1.5,3,2,189,3,0.873015873015873,0.0,0.9259259259259259,0.0,0.9417989417989417,0.0,2.2857142857142856,0.0,1.0,0.0
alfworld_nogoto,bge-large-en-v1.5,3,3,189,3,0.9259259259259259,0.0,0.978835978835979,0.0,0.9894179894179894,0.0,1.4338624338624342,0.0,1.0,0.0
alfworld_nogoto,e5-large-v2,3,1,189,3,0.9735449735449735,0.005291005291005291,0.9841269841269841,0.0,1.0,0.0,1.1128747795414462,0.008082144082814496,1.0,0.0
alfworld_nogoto,e5-large-v2,3,2,189,3,0.9029982363315696,0.0030547633290456708,0.9294532627865961,0.0030547633290456066,0.9347442680776014,0.0030547633290456708,2.134038800705467,0.04916176319141584,1.0,0.0
alfworld_nogoto,e5-large-v2,3,3,189,3,0.9135802469135802,0.008082144082814508,0.9594356261022927,0.0030547633290456066,0.9664902998236332,0.0030547633290456708,1.6613756613756614,0.038153981750941625,1.0,0.0
propara_deepseek,Qwen3-Embedding-0.6B,3,1,71,3,0.3755868544600938,0.021514439882421785,0.7464788732394366,0.028169014084507005,0.9014084507042254,0.014084507042253502,4.037558685446009,0.2835618567237843,2.3333333333333335,0.5773502691896257
propara_deepseek,Qwen3-Embedding-0.6B,3,2,71,3,0.22065727699530516,0.03252677572899299,0.6384976525821596,0.07757141615895914,0.8497652582159624,0.029319239429100422,5.366197183098592,0.6497218363194815,3.3333333333333335,0.5773502691896257
propara_deepseek,Qwen3-Embedding-0.6B,3,3,71,3,0.323943661971831,0.06454331964726535,0.7417840375586854,0.03544523209047302,0.9061032863849765,0.021514439882421757,4.300469483568075,0.47184850363388675,2.6666666666666665,0.5773502691896257
propara_deepseek,bge-large-en-v1.5,3,1,71,3,0.2535211267605634,0.014084507042253516,0.732394366197183,0.03726410297274071,0.943661971830986,0.02816901408450706,4.511737089201878,0.19431175668145406,3.0,0.0
propara_deepseek,bge-large-en-v1.5,3,2,71,3,0.24882629107981222,0.008131693932248255,0.7323943661971831,0.08795771828730137,0.9154929577464789,0.03726410297274073,5.375586854460093,0.4978297142464435,3.0,1.0
propara_deepseek,bge-large-en-v1.5,3,3,71,3,0.2629107981220657,0.029319239429100464,0.7370892018779344,0.00813169393224824,0.9342723004694835,0.05332308305915753,4.220657276995305,0.4768668268064964,2.6666666666666665,0.5773502691896257
propara_deepseek,e5-large-v2,3,1,71,3,0.27699530516431925,0.04302887976484358,0.6995305164319249,0.016263387864496544,0.8497652582159625,0.03544523209047302,7.708920187793427,0.8170632832979192,3.0,0.0
propara_deepseek,e5-large-v2,3,2,71,3,0.1877934272300469,0.029319239429100464,0.6338028169014085,0.04225352112676056,0.7746478873239436,0.03726410297274071,11.187793427230048,0.6914809256431701,4.0,0.0
propara_deepseek,e5-large-v2,3,3,71,3,0.2300469483568075,0.00813169393224824,0.6431924882629109,0.03252677572899302,0.8169014084507041,0.02816901408450706,7.676056338028168,0.5654890112643584,3.3333333333333335,0.5773502691896257
scone_full,Qwen3-Embedding-0.6B,3,1,8526,3,0.11314410821799985,0.05747190266791571,0.3099538666041129,0.132398969777113,0.41695988740323714,0.1512011258664276,123.5919540229885,70.52658096870297,20.666666666666668,18.502252115170556
scone_full,Qwen3-Embedding-0.6B,3,2,8526,3,0.09711470795214638,0.05206702050418861,0.30264289623895535,0.1346472857632099,0.41488779419813904,0.15237696628419786,124.76694815857377,66.94291188738816,20.666666666666668,17.616280348965084
scone_full,Qwen3-Embedding-0.6B,3,3,8526,3,0.10614590663851747,0.053007172788740675,0.30772538900617713,0.13262346795000685,0.42274610993822814,0.14984112514450684,123.52947845804988,64.5624007074864,19.0,15.620499351813308
scone_full,Qwen3-Embedding-0.6B,5,1,3382,3,0.1419278533412182,0.06839359997014059,0.3163808397397989,0.1285480050490832,0.41740587423615216,0.1475403002881807,129.47703528484132,79.55885316298487,22.666666666666668,21.07921567168317
scone_full,Qwen3-Embedding-0.6B,5,2,3382,3,0.09294303173664498,0.05068211804739669,0.29923122412773506,0.13337730113863439,0.40547999211511926,0.1518447747051215,127.2870096589789,71.27159202129485,22.333333333333332,19.655363983740756
scone_full,Qwen3-Embedding-0.6B,5,3,3382,3,0.09727971614429332,0.049176807911591756,0.29233195347920365,0.1312633952462491,0.4043958210132072,0.15197225539517115,126.5746106840134,69.49892903303558,21.333333333333332,17.925772879665004
scone_full,Qwen3-Embedding-0.6B,5,4,3382,3,0.10368618174650107,0.05511640561728191,0.30642617780406073,0.13773889584159457,0.42193968066232995,0.14986229818058908,131.2020500689927,69.34207882821725,20.0,16.46207763315433
scone_full,Qwen3-Embedding-0.6B,5,5,3382,3,0.11669623496944609,0.05394196404129922,0.3166765227675931,0.12953447902785697,0.4308101714961561,0.1447394848048278,122.53429923122413,61.93272784705717,18.0,14.730919862656235
scone_full,bge-large-en-v1.5,3,1,8526,3,0.05684572679646571,0.00912464739846872,0.17808272734381106,0.023362560380059096,0.2738681679568379,0.030713413015525316,141.94026116193604,18.14205650718109,31.666666666666668,4.725815626252609
scone_full,bge-large-en-v1.5,3,2,8526,3,0.05895691609977324,0.008474299115037904,0.1833997967002893,0.021920781678999926,0.28426773008053796,0.027461829641376785,135.47142075220893,14.582179717099129,30.666666666666668,4.041451884327381
scone_full,bge-large-en-v1.5,3,3,8526,3,0.0755727578387677,0.010279523355433055,0.20576276487606537,0.02234960179101073,0.3092110407381343,0.026362832696958046,127.53127687856751,12.786252789226094,27.666666666666668,3.511884584284246
scone_full,bge-large-en-v1.5,5,1,3382,3,0.06199487482751823,0.012462025325500498,0.18016952493593533,0.02715834258009071,0.2730139956633156,0.03192463967800981,152.98196333530456,24.162093903625316,32.666666666666664,5.686240703077327
scone_full,bge-large-en-v1.5,5,2,3382,3,0.0508574807806032,0.007284852155384341,0.16893356987975558,0.023398848583582613,0.26562191996846046,0.02987471824606282,144.58998620145871,18.009923949951922,33.333333333333336,4.932882862316247
scone_full,bge-large-en-v1.5,5,3,3382,3,0.056179775280898875,0.008973383149316099,0.1755371575004928,0.022371178050417478,0.2696629213483146,0.029881545972868028,138.89552533017937,14.272345273829997,33.333333333333336,4.509249752822894
scone_full,bge-large-en-v1.5,5,4,3382,3,0.06948551153163808,0.011812527708715664,0.20007884880741178,0.025770829851599786,0.3089887640449438,0.028845391078861193,133.2530061107826,13.069537520137917,27.666666666666668,4.509249752822894
scone_full,bge-large-en-v1.5,5,5,3382,3,0.09599842302385175,0.011127795476203645,0.23122412773506804,0.02678013441617262,0.33855706682436426,0.029907866889520657,122.16932781391681,12.527041398412827,24.666666666666668,4.163331998932265
scone_full,e5-large-v2,3,1,8526,3,0.032723434201266714,0.043731865091797655,0.0904683712565486,0.11468518380500746,0.138165611072015,0.16672422786367014,643.4515990304168,705.6558829171215,446.5,635.5365843128152
scone_full,e5-large-v2,3,2,8526,3,0.03182422394245054,0.04314748203323413,0.09359605911330049,0.11989715244745819,0.1418015482054891,0.17223373735153774,644.1652201110329,711.4308938878255,440.0,627.6846341914066
scone_full,e5-large-v2,3,3,8526,3,0.03983892407537728,0.05296983167692474,0.10552036906716711,0.13382801717306986,0.15513331769489405,0.18661965842946188,643.8162483384158,718.8406949754502,432.0,621.4298029544448
scone_full,e5-large-v2,5,1,3382,3,0.03755174452986399,0.048672875289257206,0.09343583678296864,0.11715803354423596,0.13995663315592352,0.1686280938314516,637.3530455351862,679.7174967537686,436.6666666666667,613.6793408070157
scone_full,e5-large-v2,5,2,3382,3,0.02759708259412576,0.037853587119511596,0.08614232209737827,0.1068497714929722,0.13522570471121623,0.16131191662104338,653.5517445298641,717.0121634992889,454.5,641.7984496709228
scone_full,e5-large-v2,5,3,3382,3,0.032032328011038835,0.045159553095208804,0.09087325054208555,0.12011514184938336,0.1370983638872462,0.1705571709747897,645.2646363098758,713.750692223964,448.1666666666667,636.7755360669357
scone_full,e5-large-v2,5,4,3382,3,0.03538340232603982,0.04724671843538705,0.10427754780208949,0.13378614180679405,0.1540508574807806,0.18830830781890703,640.1131480386359,703.4272798628932,425.1666666666667,609.7241862787906
scone_full,e5-large-v2,5,5,3382,3,0.048196333530455354,0.062302175118815646,0.118963138182535,0.1455476490486324,0.17258032722255076,0.20368082677911895,648.5717524147448,728.4488574285793,429.0,624.3054140402757
