model,attribute,num_test,top1,cosine_mean
Qwen3-Embedding-0.6B,clean,2,1.0,0.509854644536972
Qwen3-Embedding-0.6B,conscious,4,0.75,0.46994301676750183
Qwen3-Embedding-0.6B,contain,14,0.7857142857142857,0.5491142358098712
Qwen3-Embedding-0.6B,edible,14,0.8571428571428571,0.577721146600587
Qwen3-Embedding-0.6B,exist,102,0.7843137254901961,0.5780474762706196
Qwen3-Embedding-0.6B,functional,32,0.8125,0.5941896932199597
Qwen3-Embedding-0.6B,h_location,104,0.11538461538461539,0.6063091663213876
Qwen3-Embedding-0.6B,h_wet,1,1.0,0.5396356582641602
Qwen3-Embedding-0.6B,location,416,0.75,0.5867584165758811
Qwen3-Embedding-0.6B,mixed,14,0.9285714285714286,0.5749325624534062
Qwen3-Embedding-0.6B,moveable,14,0.8571428571428571,0.5045258743422372
Qwen3-Embedding-0.6B,open,54,0.6851851851851852,0.6153211659855313
Qwen3-Embedding-0.6B,pieces,39,0.7435897435897436,0.5887318818997114
Qwen3-Embedding-0.6B,power,13,0.6153846153846154,0.5748655154154851
Qwen3-Embedding-0.6B,running,37,0.7567567567567568,0.5803605165030505
Qwen3-Embedding-0.6B,solid,8,0.875,0.5394056402146816
Qwen3-Embedding-0.6B,temperature,1,0.0,0.5295623540878296
Qwen3-Embedding-0.6B,wearing,1,1.0,0.3892342448234558
Qwen3-Embedding-0.6B,wet,17,0.7058823529411765,0.580462610020357
bge-large-en-v1.5,clean,2,1.0,0.43982458114624023
bge-large-en-v1.5,conscious,4,0.75,0.47360092401504517
bge-large-en-v1.5,contain,14,0.7142857142857143,0.4948993814843042
bge-large-en-v1.5,edible,14,0.7857142857142857,0.45422946023089544
bge-large-en-v1.5,exist,102,0.7156862745098039,0.5058998062330133
bge-large-en-v1.5,functional,32,0.84375,0.5257884208112955
bge-large-en-v1.5,h_location,104,0.10576923076923077,0.5158585688242545
bge-large-en-v1.5,h_wet,1,1.0,0.525183916091919
bge-large-en-v1.5,location,416,0.7019230769230769,0.5321034387900279
bge-large-en-v1.5,mixed,14,0.8571428571428571,0.5258812712771552
bge-large-en-v1.5,moveable,14,0.8571428571428571,0.47840345970221926
bge-large-en-v1.5,open,54,0.6481481481481481,0.5154561880562041
bge-large-en-v1.5,pieces,39,0.7948717948717948,0.5379189894749568
bge-large-en-v1.5,power,13,0.5384615384615384,0.5133953575904553
bge-large-en-v1.5,running,37,0.7297297297297297,0.5339000426434182
bge-large-en-v1.5,solid,8,0.75,0.4746414087712765
bge-large-en-v1.5,temperature,1,0.0,0.414593368768692
bge-large-en-v1.5,wearing,1,1.0,0.450650155544281
bge-large-en-v1.5,wet,17,0.7058823529411765,0.5087235517361585
e5-large-v2,clean,2,1.0,0.3781585991382599
e5-large-v2,conscious,4,0.75,0.4121074378490448
e5-large-v2,contain,14,0.8571428571428571,0.3844842995916094
e5-large-v2,edible,14,0.7857142857142857,0.4145331063440868
e5-large-v2,exist,102,0.7450980392156863,0.38774126125316993
e5-large-v2,functional,32,0.84375,0.4203707976266742
e5-large-v2,h_location,104,0.10576923076923077,0.42464278323146015
e5-large-v2,h_wet,1,1.0,0.42289412021636963
e5-large-v2,location,416,0.75,0.414413873751003
e5-large-v2,mixed,14,0.9285714285714286,0.4312336040394647
e5-large-v2,moveable,14,0.8571428571428571,0.3812160960265568
e5-large-v2,open,54,0.6851851851851852,0.4281914085149765
e5-large-v2,pieces,39,0.7692307692307693,0.42913150099607617
e5-large-v2,power,13,0.6153846153846154,0.4136534585402562
e5-large-v2,running,37,0.7567567567567568,0.4247158371113442
e5-large-v2,solid,8,0.75,0.3678830172866583
e5-large-v2,temperature,1,1.0,0.33839449286460876
e5-large-v2,wearing,1,1.0,0.34694892168045044
e5-large-v2,wet,17,0.7058823529411765,0.41526078827240887
